PMID,Title,Year,Journal,Abstract
41938918,Mind-body exercise for symptom management in cancer: a systematic review and meta-analysis.,2026,Frontiers in public health,"The aim of this study is to conduct a systematic review and meta-analysis and to evaluate changes in the mental health, physical symptoms, and health-related quality of life (HRQOL) in cancer patients following mind-body exercise training. As of February 2026, this study retrieved data from eight databases. Eventually, 19 randomized clinical trials using the mind-body exercise were conducted. This meta-analysis synthesized outcome indicators related to cancer symptoms to obtain pooled effect sizes. In this meta-analysis, interventions in mind-body exercise in terms of anxiety (standardized mean difference, SMD = -0.39, 95% CI -0.65 to -0.13), depression (SMD = -0.34, 95%CI -0.59 to -0.10), fatigue (SMD = -0.40, 95% CI -0.78 to -0.02), sleep (SMD = -0.60, 95% CI -1.15 to -0.05), and HRQOL (SMD = 0.38, 95% CI 0.17-0.60) are statistically significant when compared with usual care. The subgroup analysis indicated that a longer intervention period (≥ 8 weeks) might show stronger effects. Based on the intervention types, traditional Chinese exercise significantly improved anxiety, depression, sleep quality, and HRQOL, while yoga significantly reduced fatigue and also improved HRQOL. Mind-body exercise is an effective rehabilitation method for alleviating cancer symptoms, significantly improving mental health, physical symptoms and quality of life. They are suitable as non-pharmacological supplementary intervention measures for cancer patients and are recommended for wide application in clinical practice."
41938074,"Cultural Adaptation and Feasibility of an Inpatient Yoga Intervention for Patients Undergoing Hematopoietic Stem Cell Transplantation in Tanzania, India, and the United States: A Study Protocol.",2026,Global advances in integrative medicine and health,"Cancer is a global health challenge that continues to rise worldwide. People with cancer in low- and middle-income countries (LMIC) have less access to integrative oncology programs than their counterparts in high-income countries. This is especially true of countries on the African continent, such as Tanzania. LMICs have a disproportionately higher cancer burden than their counterparts. Hematopoietic Stem Cell Transplantation (HSCT) requires extended hospitalization, including social isolation. While yoga is often recommended to help manage symptoms in oncology patients, its use has not been systematically evaluated among hospitalized patients or those undergoing HSCT. To address this gap, we designed a pilot study to culturally tailor and implement a yoga program for HSCT inpatients across diverse settings in Tanzania, India, and the United States. Five patients with hematological malignancy who underwent HSCT within the past year from each of the 3 centers will participate in semi-structured interviews to explore cultural norms, culturally appropriate language, and factors specific to yoga and psychosocial support. After any modifications to the program, 15 patients from each center will participate in the yoga program 2 weeks before HSCT and for the first 30 days after HSCT via in-person, telehealth (Zoom), or in combination. We will declare the intervention feasible if (a) at least 50% of patients complete a minimum of 6 of the 12 YT sessions and (b) at least 60% of patients complete follow-up measures at 2 months after transplant. This trial will provide important information regarding the cultural sensitivity and feasibility of an inpatient yoga program provided during hospitalization for 3 different centers. This data is necessary before embarking on a multicenter randomized clinical trial."
41932675,Return to sport after shoulder arthroplasty: an ASES multicenter analysis of sport-specific predictors of performance in reverse shoulder arthroplasty and total shoulder arthroplasty.,2026,Journal of shoulder and elbow surgery,"Many patients undergoing shoulder arthroplasty-either reverse shoulder arthroplasty (rTSA) or anatomic shoulder arthroplasty (aTSA)-strongly desire to return to sport, yet return-to-sport (RTS) outcomes remain incompletely defined. This study aimed to determine RTS rates following rTSA and aTSA and to identify patient-specific and sport-specific factors associated with postoperative athletic performance. A multicenter retrospective analysis with prospective administration of RTS questionnaires was conducted among patients who underwent rTSA or aTSA between 1 and 3 years postoperatively. Twenty-four ASES surgeons from 17 U.S. institutions participated. Study design and parameters were defined using a Delphi consensus method. The RTS questionnaire assessed participation in seven sports: golf, pickleball, tennis, running, weightlifting, yoga, and swimming. Outcomes included RTS status, changes in performance, enjoyment, participation frequency, time to RTS, and shoulder satisfaction (0-10). Univariate ANOVA compared outcomes across sports. Two age- and gender-matched propensity score analyses compared (1) rTSA versus aTSA for glenohumeral osteoarthritis (GHOA) and (2) rTSA for GHOA versus rotator cuff arthropathy (RCA). Multivariate logistic regression identified predictors of worse postoperative performance. A total of 961 patients completed the questionnaire; 55.9% (n = 537) participated in at least one sport preoperatively and attempted RTS postoperatively, yielding 656 sport participations. Mean follow-up was 24.0 ± 8.1 months, mean age was 68.3 ± 8.2 years, mean BMI was 28.5 ± 5.8, and 65.6% were male. Across all sports, 89.2% of participants were still playing, and 80.2% reported improved or unchanged performance, with no differences between sports. Overall RTS rates were highest for running (92.9%), tennis (92.3%), and weightlifting (93.1%). Most patients returned within 3-6 months (44.7%). In matched GHOA cohorts (n = 165 each), rTSA demonstrated higher rates of improved or stable performance (87.9% vs 78.9%, P = 0.039) and greater satisfaction (P = 0.007) compared to aTSA, with similar RTS rates (93.3% vs 89.1%). Diagnosis of GHOA (OR, 0.20; P = 0.001) and post-capsulorrhaphy arthropathy (OR, 0.07; P=0.021) were independently associated with lower odds of worsened postoperative sport performance. Return to sport following shoulder arthroplasty is high, with most patients reporting maintained or improved performance. In patients with GHOA, rTSA was associated with higher rates of improved or stable sport performance and greater satisfaction compared to aTSA."
41929782,"Editorial: Deepening consciousness: what phenomenology, yogic, and Buddhist meditation can contribute from a psychological perspective.",2026,Frontiers in psychology,
41929369,Therapeutic exercise is associated with dose-dependent reductions in acute anxiety across psychiatric diagnoses.,2026,Frontiers in psychiatry,"Acute anxiety is common across psychiatric disorders and may interfere with treatment engagement. Although physical activity is known to improve long-term mental health outcomes, less is known about its immediate associations with anxiety reduction in real-world psychiatric settings. This study examined whether participation in therapeutic exercise sessions is associated with short-term changes in self-reported anxiety and whether greater program participation is related to larger reductions. We analyzed data from 179 adult psychiatric patients participating in a structured therapeutic exercise program including (i) 30-45-minute walking sessions, (ii) stretching/yoga-like sessions, and (iii) 5-10-minute diaphragmatic breathing exercises. Self-reported anxiety was assessed using the GAD-7 questionnaire administered immediately before and immediately after exercise sessions. Non-parametric tests evaluated pre-post changes, and Spearman correlations assessed associations between session counts and anxiety change. Self-reported anxiety scores were significantly lower after exercise sessions (median pre = 3; median post = 2; Wilcoxon P < 0.001). Improvement was observed in 81% of patients. Anxiety reductions did not differ significantly by sex, diagnosis, or age. Greater participation in walking, stretching/yoga, and breathing sessions was associated with larger decreases in anxiety (Spearman ρ = -0.63 to -0.66, all P < 0.001). Because exercise modalities were highly intercorrelated, these findings likely reflect overall program engagement rather than modality-specific effects. In this observational clinical sample, participation in exercise sessions was consistently associated with large, rapid short-term reductions in self-reported anxiety across diagnostic categories. The observed dose-response associations suggest that greater engagement may be linked to larger improvements. However, the absence of a control group and the use of a symptom questionnaire in a session-based format limit causal inference. Controlled trials are needed to determine the extent to which exercise itself, expectancy effects, or contextual factors contribute to these improvements."
41927240,Impact of aromatherapy neck massage on resting cardiovascular parameters in patients with chronic kidney disease and secondary hypertension: A self-controlled study.,2026,Journal of bodywork and movement therapies,"Chronic kidney disease (CKD) is characterized by kidney damage persisting for 3 months or more. Hypertension (HTN) is a common cause of CKD progression. Previous studies had shown that aroma massage can effectively reduce systolic blood pressure (SBP) and diastolic blood pressure (DBP) in HTN patients. However, no study has examined its impact on resting cardiovascular (CV) parameters. Thus, the objective of the study was to evaluate the impact of aromatherapy massage on resting CV parameters in patients with CKD associated with secondary HTN. Thirty participants with CKD-associated secondary hypertension received each of the three sessions in the repeated-measure design: [i] Neem, Ylang-ylang and Frankincense oil (NYF) massage on Day-1, [ii] Neem oil massage on Day-2, and [iii] a control rest session on Day-3. SBP, DBP and pulse rate (PR), Pulse pressure (PP), mean arterial pressure (MAP), rate pressure product (RPP), and double product (Do-P) were assessed immediate pre- and post-session changes (within-session analysis) and average values across sessions were compared (between-session analysis) before and after intervention. The results showed a significant reduction in RPP in NYF and Neem session compared with control with no significant changes in SBP, DBP, PR, PP, MAP and Do-P in between session analysis. Within-session analysis showed a significant reduction in SBP, DBP, PR, PP, MAP, Do-P and RPP in NYF and Neem session, whereas control session showed significant reduction in PR and Do-P with no significant changes in SBP, DBP, PP and MAP. The results of this exploratory study suggest that aromatherapy massage using NYF essential oil may induce short-term within-session reductions in resting CV parameters and may help reduce CV workload, as reflected by changes in RPP, in patients with CKD-associated secondary hypertension."
41927187,Effect of aroma shiatsu massage therapy on cognitive function in healthy adolescents: A non-randomized controlled trial.,2026,Journal of bodywork and movement therapies,"Cognitive functions are essential to daily life as they encompass the fundamental abilities required for any activity. Despite the importance of cognitive health in adolescents, the effects of aroma shiatsu massage therapy on cognitive function in this age group have not been previously investigated. Thus, the objective of the study was to assess the effect of aroma shiatsu massage therapy on cognitive function in adolescents aged 17-19 years. A total of 100 healthy adolescents were allocated into study group (SG) (n = 50) and control group (CG) (n = 50). The SG underwent a single 10 min session of aroma shiatsu massage therapy on selected acupuncture points, while CG underwent rest in sitting position for 10 min. Audio reaction time (ART), Visual reaction time (VRT) and Critical flicker fusion frequency (CFFF) were assessed before and immediately after the intervention. Within-group differences were analyzed using the Wilcoxon Signed Ranks Test, and between-group differences were assessed using ANCOVA. Results of the study showed a significant reduction in ART and VRT (p < 0.05 for both) with no significant changes in CFFF (p = 0.785) in SG, whereas CG showed a significant reduction in VRT (p < 0.05) with no significant changes in ART (p = 0.991) or CFFF (p = 0.648). Moreover, the between group analysis showed no significant change in CFFF, ART and VRT. A single 10 min session of aroma shiatsu massage therapy showed significant cognitive improvements within the treated group, but these were not significantly different from the control group. However, larger, longer-term studies are needed to confirm these findings."
41927179,Co-occurrence of Yoga and EMG in scientific literature: A bibliometric analysis.,2026,Journal of bodywork and movement therapies,"Yoga is widely practiced for integrating the mind, body, and spirit that ensures mental and physical well-being. The main aim of this bibliometric study was to investigate the intersection of Yoga and electromyographical analytical research facts by using established bibliometric techniques. This bibliometric analysis was conducted on articles discussing Yoga and EMG, utilizing the PubMed database as the primary source to examine facts and key areas of focus within the scientific literature. A comprehensive search from 2013 to 2023 yielded 135 relevant articles, further, the analysis employed keyword co-occurrence to map research trends and intellectual structures within this domain. The Data cleaning procedures were also applied to address the errors, and VOS viewer 1.6.20 software was used to visualize relationships between key terms. This bibliometric analysis was revealed a significant insight of ""Yoga,"" and ""Muscle Activity,"". Moreover, the findings of this study were indicated the ""Humans"" as keyword which was occurred maximally i.e., 135 counts with 934 as total link strength and ""Respiratory Muscles"" was occurred minimal i.e., 5 counts with 27 as total link strength respectively. Further, ""The Journal of Bodywork and Movement Therapies"" was reported the leading position journal by publication count i.e., 23 and ""Archives of Physiotherapy"" was reported the last position journal by publication count i.e., 01. Moreover, comprehensive network visualization mapping clusters were emphasized thematic areas i.e., 1) physiological aspects (exercise modalities, age categories, electromyography, muscle analysis, muscle responses during yoga practice), 2) psychological and therapeutic outcomes (quality of life, depression, anxiety, and clinical exercise therapy-showcasing the therapeutic breadth studied in yoga research), 3) demographic and clinical dimensions (female and aging populations, specific conditions - urinary incontinence and pelvic floor health, indicating an interest in population-specific interventions, and 4) physiological and fitness-related measures (blood pressure, heart rate, longitudinal studies, and risk factors, thereby linking yoga practice to metabolic and cardiovascular health outcomes). Findings were also indicated the year-wise studies on yoga and muscle activation, and the year 2014 and year 2021 were exhibited its peak respectively, and year 2015 and 2017 were exhibited its decline respectively. Present analysis finds the trend areas in scientific literature of yoga and muscle activity i.e. Yoga, Humans, Male, Electromyography, and Muscle Strength offering insights into its intellectual landscape and the evolving focus on Yoga therapeutic benefits."
41927024,Yoga in Fibrosing Interstitial Lung Diseases: a Feasibility Trial.,2026,"Pneumologie (Stuttgart, Germany)","Physical activity and quality of life (QoL) are reduced in patients with fibrosing interstitial lung diseases (fILD). Our aim was to assess the feasibility of a yoga intervention and an initial evaluation of effectiveness.Patients with fILD were randomized between yoga (2×/week, 12 weeks, n=9) and surveillance (n=7). The primary endpoint was change in QoL. Following the feasibility approach, we used a mixed method approach for assessing QoL. Qualitative data were collected in focus group interviews, quantitative data through established QoL questionnaires (K-BILD, HADS, LCQ, VAS) at baseline and at 12 weeks.Baseline characteristics in the yoga vs. surveillance groups were: median age 65 vs. 71 years, female 44% vs. 14%, forced vital capacity (FVC) 68% vs. 78%. The average participation rate was 82% and there was no evidence of a medical safety risk. After 12 weeks, there were no significant differences in FVC. However, results showed significant differences for K-BILD total and dyspnea score (p<0.05) favoring yoga, while HADS, LCQ and VAS showed no differences. Post intervention, health-related improvements and transfer of yoga practices into daily life to overcome dyspnea sensation were perceived as main benefits.The results suggest that yoga is feasible for patients with fILD. Moreover, yoga for fILD might be associated with significant benefits in QoL. Data interpretation is limited by imbalances in patient characteristics and small numbers due to its feasibility approach. However, this study provides valuable preliminary insights about acceptability, safety, and preliminary efficacy."
41926115,"Efficacy, Safety, and Functional Outcomes of Yoga Therapy in Diabetic Peripheral Neuropathy: A Systematic Review.",2026,Advances in mind-body medicine,"Diabetic peripheral neuropathy (DPN) is a common and debilitating complication of type 2 diabetes mellitus, affecting up to 50% of patients. Standard pharmacological treatments offer limited relief and do not address the underlying pathophysiology. Yoga is a mind-body practice combining physical postures, breathing techniques, and meditation, which has demonstrated potential benefits in improving metabolic parameters and psychological well-being in DPN. Emerging evidence suggests yoga may also improve functional outcomes and alleviate symptoms in individuals with DPN. This systematic review aimed to evaluate the safety, efficacy, and clinical relevance of yoga in the management of DPN. Following PRISMA guidelines, a comprehensive search of MEDLINE/PubMed was conducted from inception to May 19, 2025, with Google Scholar searched as a supplementary source to enhance completeness. Eligible studies included published randomized controlled trials, crossover trials, quasi-experimental studies, and single-group pre-post studies assessing the effect of yoga in DPN. This systematic review included seven studies: four RCTs, one quasi-experimental study, and two single-group pre-post studies. Studies were screened and reviewed independently by two authors. This systematic review included seven studies comprising a total of 227 participants. Yoga interventions ranged from 8 to 12 weeks. Patients with DPN reported improvements in neuropathic pain, balance, lower-limb strength, gait speed, and quality of life. No serious adverse events were noted. Yoga may be recognized as a safe and potentially effective adjunct therapy in improving symptoms and function of individuals with DPN. However, variability in study design, small sample sizes, heterogeneity in interventions and the overall high risk of bias in included randomized controlled trials, limited the ability to draw firm conclusions. Hence, larger, high-quality trials are recommended to validate the effect of yoga in DPN along with the underlying mechanisms. CRD420251241345. Balance, diabetic peripheral neuropathy, gait, neuropathic pain, quality of life, systematic review, yoga."
41925375,"Plants as silent teachers: bridging plant biology, human physiology, and eastern traditional practices through molecular insights.",2026,Plant signaling & behavior,"Plants lack a centralized nervous system, yet they exhibit sophisticated capacities for environmental perception, communication, stress adaptation, and forms of physiological memory. Increasing experimental evidence indicates that many of the molecular mechanisms underlying these processes-such as reactive oxygen species (ROS) signalling, calcium fluxes (Ca<sup>2+</sup>), nitric oxide (NO) pathways, mitogen-activated protein kinase (MAPK) cascades, and epigenetic regulation-are conserved across biological kingdoms. In this perspective article, we examine how plant systems, particularly <i>Arabidopsis thaliana</i>, may serve as experimentally tractable models for investigating conserved stress-related signalling processes that also operate in human physiology. We further review evidence for plant communication through volatile organic compounds, acoustic vibrations, bioelectrical signalling, and mechanical cues, highlighting mechanistic parallels in signal perception and response integration. Building on these shared molecular nodes, we cautiously explore whether plant-based experimental platforms could be used to test environmental variables-such as sound exposure, rhythmic mechanical stimulation, and oxygen-related modulation-that are also relevant to certain contemplative or lifestyle practices. This framework is hypothesis-generating rather than confirmatory and warrants further evaluation. It does not imply equivalence between plant and human experience, but instead proposes that conserved biochemical pathways offer a biologically grounded interface for interdisciplinary investigation. By situating traditional practices within measurable molecular parameters, plant systems may contribute to a more rigorously experimental dialogue among plant biology, stress physiology, and integrative health research."
41921919,Feasibility and preliminary effects of a yoga program developed for adults with post COVID-19 condition (Breathe Easy): Pilot randomized controlled trial.,2026,Complementary therapies in medicine,"Effective medical management of post COVID-19 condition (post COVID) remains challenging. Symptoms are heterogenous, debilitating, and impact health-related quality of life (HR-QoL). Complementary treatments are needed that can be self-managed and improve health. Yoga is a promising strategy that may help reduce post-COVID symptoms but remains understudied. We co-designed a unique yoga intervention for adults with post COVID and evaluated its feasibility and preliminary effects. Two-group parallel, pilot randomized controlled trial with blinded follow-up. Participants were randomized (1:1) to the 12-week yoga program or a health promotion (HP) intervention. All participants received usual medical treatment for post COVID. Twenty-nine participants aged 30-65 years were recruited and randomized (86% follow-up). The primary outcome was feasibility and the secondary outcome was HR-QoL (SF-36). Data were analysed as intention-to-treat using linear mixed modelling. The trial was prospectively registered and approved by the Swedish Ethical Review Authority (2023/06518-01). Through a consensus development process involving yoga experts in India and Sweden, post COVID researchers, and patient advocates, we successfully co-designed and pilot tested a yoga program developed for adults with post COVID. The intervention was feasible with high adherence (≥2 sessions/week = 65%; ≥1 session/week = 95%) and no serious adverse events reported. Preliminary (underpowered) analyses showed no pre-to-post intervention group differences (SF-36 physical health: B = -1.30, 95% CI = -3.60, 1.00, p = .269; mental health: B = 3.49, 95% CI = -0.06, 7.04, p = .054). Participation in a yoga program developed for patients with post COVID was feasible. Adequately powered trials are needed to assess whether yoga may help to improve symptoms associated with the condition."
41918993,G.A study protocol for a randomized controlled trial investigating the influence of Iyengar Yoga on biofunctional age and cardiovascular risk associated biomarker of postmenopausal women.,2026,Frontiers in global women's health,"Previous research has shown that women aged 45-54 experience a significantly faster rate of biological aging compared to the preceding or following decade. Exactly in this period of life women will experience the menopause. Menopause is defined as the last menstrual period in a women's life and is diagnosed retrospectively after 12 month of amenorrhea. The menopausal transition is associated with a reduced overall well-being. Practicing yoga has demonstrated beneficial effects on cardiovascular risk factors such as BMI, lipid profile, HbA1c, thus contributing to better overall well-being. Therefore, yoga may represent a promising intervention to support healthy aging in postmenopausal women and may positively influence cardiovascular-related biomarkers. The primary objective of this study is to assess the effect of Iyengar Yoga on the biofunctional age (BFA) of postmenopausal women, assessed using the biofunctional status (BFS). The secondary objectives are to evaluate its impact on the frequency of hot flushes, high-sensitivity C-reactive protein (hsCRP) levels, and oxidative stress. This paper describes the study protocol of a monocentric, randomized, controlled, open-labeled, two-arm, interventional study conducted at the University Hospital of Bern, Switzerland. A total of 72 postmenopausal women will be randomly assigned to either an intervention group or a control group. Participants in the intervention group will attend a 90-minute Iyengar yoga class once per week for 12 weeks, guided by a certified instructor. Additionally, they will perform two 45-minute home-based yoga sessions per week, including postures and relaxation techniques. The control group will not receive any intervention during this period. This protocol describes a randomized controlled trial evaluating whether Iyengar Yoga can reduce the biofunctional age (BFA), calculated using the BFS, of postmenopausal women aged 45-54 years in 12 weeks. Furthermore, yoga practice may have a positive impact on cardiovascular risk factors and overall vitality. The study has been registered at Clinicaltrials.gov (Identifier: NCT04705623) on December 30, 2020. https://clinicaltrials.gov/study/NCT04705623."
41914456,"Effects of a self-care-based education and laughter yoga on chronic stress, menopausal symptoms, and salivary cortisol: A randomized controlled trial.",2026,African journal of reproductive health,"Menopause and its symptoms significantly affect women's physical, psychological, and social well-being, often resulting in chronic stress. Education based on the self-care model's three components-maintenance, monitoring, and management-combined with laughter yoga, a proven stress-reducing practice, may effectively aid in managing menopausal symptoms and stress. This randomized controlled trial investigated the impact of a menopause education program grounded in the self-care model and integrated with laughter yoga on menopausal symptoms, perceived stress, coping styles, and salivary cortisol among postmenopausal women. Sixty-four participants were randomly assigned to either an intervention group (n=32) or a control group (n=32). Data were collected using a Descriptive Information Form, the Perceived Stress Scale, the Menopause Symptoms Assessment Scale, the Coping Styles Inventory, and salivary cortisol measurements. After the intervention, significant improvements were observed in the intervention group's scale scores and salivary cortisol levels compared to the control group (p=0.001). The program successfully alleviated menopausal symptoms and reduced stress, with lower cortisol levels indicating positive physiological adaptation. Primary healthcare nurses are encouraged to integrate self-care-based education and affordable stress-reduction methods, such as laughter yoga, into menopausal counseling. Future studies with larger samples and extended follow-up periods are recommended to confirm these results."
41908281,"Yoga, sexual dysfunction, and female concussions: a mind-body pilot intervention.",2026,Frontiers in neurology,"Sexual wellbeing is a key part of health and should be included in concussion recovery. While yoga can improve concussion outcomes, its effects on sexual wellbeing in women with post-concussion symptoms are unclear. We aimed to evaluate the feasibility (Aim 1) of a brain injury-tailored yoga program, and its impact on sexual function (Aim 2a) and mood correlates-depression, anxiety, PTSD (Aim 2b)-in women aged 18+. We also assessed sustainability (Aim 3) and acceptability/ participant satisfaction with the intervention (Aim 4). Participants were recruited from PINK Concussions, a social media support network for female concussion patients with symptoms lasting at least 1 month. Twelve participants were enrolled in a 6-week yoga program, and an additional 15 were assigned to a wait-list control condition. Participants received a self-report survey 1-week post- yoga intervention (week 7) and 5 weeks post-intervention (week 11). All participants were yoga novices, defined as practicing yoga once a month or less. Sessions were held over Zoom and led by a certified yoga instructor. The Female Sexual Functioning Index-6 (FSFI-6) was used to assess sexual dysfunction. Participants also completed measures of depression (PHQ-9), anxiety (GAD-7), and PTSD (PCL-5). We used difference in differences estimates to calculate the average treatment effects, and the counterfactual means of the intervention group. We also used Glass' Delta (<i>Δ</i>) to calculate effect sizes. (Aim 1) Fifty-seven eligible women expressed interest in the yoga program. Invitations were sent in two batches to limit sessions to 15 participants. For Group 1 (Yoga group), 27 women were invited; 16 (59%) confirmed interest, and 12 enrolled after exclusions due to scheduling constraints. Attendance varied, with 6/12 (50%) completing ≥3 sessions; 5 of these 6 (83%) completed both week-7 and week-11 follow-up surveys. For Group 2 (wait-list controls), 34 women were invited, including those unable to attend Group 1. 15 (44%) confirmed participation, and 11 (73%) completed both follow-up surveys. Outcomes were compared between the yoga and wait-list control groups. At 1-week post-yoga intervention (Aims 2a and 2b), participants reported substantial improvements in their sexual functioning and mood symptoms. Effect sizes: large for sexual function (<i>Δ</i> = -0.50), medium for anxiety (-0.30), small for PTSD (-0.15) and depression (0.05). At 5 weeks (Aim 3), scores declined slightly but stayed above baseline. Sexual function retained a medium effect size (-0.34). All other domains had small effect sizes. Acceptability was high, with mean satisfaction scores of 8.7/10 (Aim 4). Using open-ended text boxes, participants commented on the intervention's impact on their mental health, physicality, social connection/isolation/belonging; and provided suggestions for improvement. Yoga has the potential to improve women's sexual functioning after concussion and offers a non-pharmacological alternative for treating mood and other important correlates of women's sexual well-being. Larger randomized trials are needed."
41907996,Impact of heartfulness meditation on psychophysiological parameters among medical students.,2025,Bioinformation,"The shift from school to medical college is a demanding phase, during which many first-year MBBS students encounter stress, emotional strain and physiological imbalance that can hinder academic performance and personal well-being. In response, the Indian National Medical Commission has integrated yoga and meditation practices into the Foundation Course under the Competency-Based Medical Education framework to promote resilience and holistic growth. Hence, a cross-sectional observational study was conducted at GSVM Medical College, Kanpur, across five student cohorts, where participants engaged in a single 20-25-minute Heartfulness meditation session with yogic transmission. Following the intervention, nearly 90% of students experienced deep relaxation and statistically significant reductions (p < 0.001) in pulse and respiratory rates were observed, indicating immediate physiological and psychological benefits."
41907959,Management of type 2 diabetes mellitus using Yoga: Implications for immunological and autonomic dysfunction.,2025,Bioinformation,"Type 2 diabetes mellitus (T2DM) is characterized by chronic hyperglycaemia, insulin resistance and β-cell dysfunction, leading to systemic inflammation and autonomic nervous system impairment. Diabetic autonomic neuropathy and cardiac autonomic neuropathy significantly increase risks of cardiovascular morbidity and mortality. Metabolic disturbances such as oxidative stress, polyol pathway activation and AGEs contribute to progressive neuronal and microvascular injury. Emerging evidence shows that yoga improves glycaemic control, autonomic balance and neuro-endocrine functioning in individuals with T2DM. Thus, we show that yoga as a complementary therapeutic approach to mitigate neuro-immunological dysregulation and enhance cardiovascular health in T2DM."
41907889,Effect of parents' on menstrual hygiene in rural India.,2025,Bioinformation,"Parent's education on menstrual hygiene affects the practices of girls especially in the rural areas. Therefore, it is of interest to explore the relationship between parental and menstrual hygiene practices in rural areas of Etawah, Uttar Pradesh, India. Hence, a cross-sectional study was conducted among 165 school-going girls aged 10-19 years in rural Etawah. No statistically significant association was found between parental education and access to menstrual hygiene products or challenges faced. Inadequate hygiene facility was high among all groups irrespective of parent's education. Thus, we show that parental education alone does not significantly impact menstrual hygiene practices in this rural setting."
41907677,How recreational therapies impact physiological and psychosocial outcomes in cancer patients: a review.,2026,Oncology reviews,"Recreational Therapies (RecT) (e.g., art, dance, music, yoga, aromatherapy, Virtual Reality) are non-invasive interventions capable of enhancing the biopsychosocial wellbeing in patients, targeted to regenerate the existential dimensions of illness experience. While widely appreciated for their positive impact on quality of life, the specific biological and psychological mechanisms through which RecT exert their benefits remain underexplored in oncology. This review maps and critically discusses current evidence on the clinical impact of RecT across various stages of cancer and types of interventions, with a particular focus on targeted outcomes such as cortisol modulation, heart rate regulation, immune response, depression, anxiety, coping skills, and social support. Moreover, the review highlights how RecT may contribute to the mitigation of treatment-related side effects, including nausea, fatigue, and sleep disturbances. By synthesizing recent findings, we provide a comprehensive framework for understanding the role of RecT as integrated, evidence-informed components for oncology rehabilitation during and after therapy. This work aims to support the design of more personalized and effective supportive care strategies that resonate with patients' values and enhance treatment adherence, resilience, and overall health."
41903321,The design and validation of a complementary yoga therapy module based on patient-reported survey outcomes for migraine headache.,2026,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,"Migraine is a neurological disorder and the second leading cause of years lived with disability (YLD). It is associated with a diverse range of comorbidities and impacts 1 billion people worldwide. The present study was undertaken to design and validate a yoga module to support migraine management. A survey of 66 migraine patients and a comprehensive review of yoga texts and scientific literature were conducted to understand migraine-related pathology, causes, symptoms, and current treatments. To establish the scientific validity and relevance of the selected yoga practices to be incorporated in the module, content validation was carried out through a standard evaluation method, followed by a pilot feasibility analysis.40 subject matter experts validated the module using a Likert scale. A content validity ratio (CVR) of 0.29 was considered a minimum for inclusion of the practice. The final yoga module consisted of a total of 21 practices, each with a 45-minute duration. The module was found to be safe and easy to implement in the daily routine after the pilot feasibility exploration study was done with 6 migraine patients who underwent 2 weeks of intervention. The study developed and validated a yoga module based on survey outcomes, contemporary scientific literature, and ancient texts. The module's feasibility has demonstrated its safety and adaptability. This study effectively combines conventional methods with a contemporary scientific viewpoint to improve migraine outcomes. This Yoga module, thus designed, can be potentially used in the clinical setting as an adjunct to conventional migraine treatment."
41897200,Mind-Body Medicine Training for Incarcerated Men and Women.,2026,"Healthcare (Basel, Switzerland)","<b>Background/Objective:</b> Mind-body programs teaching mindfulness-based techniques have benefits for incarcerated people, as do programs in which individuals teach yoga to their incarcerated peers. However, there are no studies of comprehensive programs that combine a variety of self-care techniques with group support and enable people in prison to enhance their own well-being and then share what they have learned with their peers. This study evaluated the effects of such a training program in the United States. <b>Methods:</b> Thirty-eight incarcerated men and women began the 8-day mind-body medicine training and 31 completed the training. Mind-body techniques taught included soft belly breathing, meditation, autogenics and biofeedback, guided imagery, mindful eating, self-expression through drawings and writing, and genograms. Outcomes included resilience, depression, anxiety, stress, coping self-efficacy, optimism, meaning in life, and purpose in life. Outcomes were measured before and after the training, and at a 6-month follow-up. <b>Results:</b> There were significant improvements in resilience, depression, anxiety, stress, coping self-efficacy, optimism, the presence of meaning in life, and purpose in life after the training. All of these improvements were maintained at follow-up. The most frequently practiced skills both after the training and at follow-up were soft belly breathing, meditation, and mindful eating. <b>Conclusions:</b> The training provided participants with skills that had a lasting positive benefit on numerous aspects of their own well-being and trained them to teach the skills to their incarcerated peers. The results of this uncontrolled study suggest that the mind-body medicine training program may be helpful to incarcerated people in other prison systems."
